"id","poble","advocació","comarca","alçada"
132,"Adrall","Santa Maria","Alt Urgell, l'","19.79"
133,"Alàs","Sant Esteve","Alt Urgell, l'","20.37"
134,"Anserall","Sant Serni","Alt Urgell, l'","12.00"
135,"Ansovell","Sant Martí","Alt Urgell, l'","18.74"
136,"Aravell","Sant Andreu","Alt Urgell, l'","17.4"
137,"Arcavell","Sant Andreu","Alt Urgell, l'","22.57"
138,"Arfa","Sant Serni","Alt Urgell, l'","21.54"
139,"Argolell","Santa Eugènia","Alt Urgell, l'","16.55"
140,"Aristot","Sant Andreu","Alt Urgell, l'","20.5"
141,"Ars","Sant Martí","Alt Urgell, l'","14.2"
142,"Arsèguel","Santa Coloma","Alt Urgell, l'","17.97"
143,"Asnurri","Santa Eulàlia","Alt Urgell, l'","12.18"
144,"Ballestar","Sant Pere","Alt Urgell, l'","15.07"
145,"Bar","Sant Esteve","Alt Urgell, l'","24.21"
146,"Bescaran","Sant Martí","Alt Urgell, l'","27.98"
147,"Cabó","Sant Serni","Alt Urgell, l'","14.22"
148,"Calbinyà","Sant Tomàs","Alt Urgell, l'","15.45"
149,"Castellciutat","Sant Feliu","Alt Urgell, l'","17.56"
150,"Castellnou de Carcolze","Sant Gervasi","Alt Urgell, l'","17.7"
151,"Civís","Sant Romà","Alt Urgell, l'","13.47"
152,"Coll de Nargó","Sant Climent,  església nova","Alt Urgell, l'","29.08"
153,"Estamariu","Santa Cecília","Alt Urgell, l'","21.74"
154,"Fórnols","Sant Climent","Alt Urgell, l'","18.17"
155,"Gavarra","Sant Serni","Alt Urgell, l'","11.78"
156,"Montferrer","Sant Vicenç","Alt Urgell, l'","22.61"
157,"Noves de Segre","Sant Serni","Alt Urgell, l'","19.17"
158,"Ogern","Sant Serni","Alt Urgell, l'","18.95"
159,"Oliana","Sant Andreu","Alt Urgell, l'","24.67"
160,"Organyà","Santa Maria","Alt Urgell, l'","23.06"
161,"Ortedó","Sant Vicenç","Alt Urgell, l'","13.53"
162,"Os de Civís","Sant Pere","Alt Urgell, l'","14.96"
163,"Peramola","Sant Miquel","Alt Urgell, l'","22.43"
164,"Pla de Sant Tirs, El","Sant Tirs","Alt Urgell, l'","24.77"
165,"Seu d'Urgell","Catedra, Santa Maria, parròquia Sant Ot, dues torres","Alt Urgell, l'","24.5"
166,"Seu d'Urgell","Catedral, Santa Maria, parròquia Sant Ot, campaneret","Alt Urgell, l'","35.17"
167,"Sorribes","Sant Martí","Alt Urgell, l'","17.89"
168,"Tuixén","Sant Esteve","Alt Urgell, l'","17.54"
169,"Valldarques","Sant Romà","Alt Urgell, l'","13.18"
170,"Vilanova de Banat","Santa Cecília","Alt Urgell, l'","14.36"
171,"Adons","Sant Vicenç","Alta Ribagorça, l'","10.21"
172,"Areny de Noguera, Aragó: Osca","Sant Martí","Alta Ribagorça, l'","28.86"
173,"Barruera","Sant Feliu","Alta Ribagorça, l'","18.2"
174,"Boí","Sant Joan","Alta Ribagorça, l'","20.66"
175,"Castellars","Sant Josep","Alta Ribagorça, l'","11.55"
176,"Cóll","L'Assumpció","Alta Ribagorça, l'","20.12"
177,"Durro","La Nativitat","Alta Ribagorça, l'","26.25"
178,"Erill la Vall","Santa Eulàlia","Alta Ribagorça, l'","24.8"
179,"Gotarta","Santa Cecília","Alta Ribagorça, l'","13.35"
180,"Irgo","Mare de Déu de les Neus","Alta Ribagorça, l'","12.48"
181,"Llesp","Sant Martí","Alta Ribagorça, l'","16.4"
182,"Malpàs","Sant Pere","Alta Ribagorça, l'","16.75"
183,"Perves","Sant Fructuós","Alta Ribagorça, l'","13.75"
184,"Senet","Santa Cecília","Alta Ribagorça, l'","16.15"
185,"Taüll","Santa Maria","Alta Ribagorça, l'","21.75"
186,"Vilaller","Sant Climent","Alta Ribagorça, l'","33.82"
187,"Viu de Llevata","Santa Maria","Alta Ribagorça, l'","16.85"
188,"Argençola","Sant Llorenç","Anoia, l'","21.12"
189,"Bellprat","Sant Salvador","Anoia, l'","13.00"
190,"Boixadors","Sant Pere","Anoia, l'","17.6"
191,"Bruc, El","Sant Pau de la Guàrdia","Anoia, l'","17.65"
192,"Bruc, El","Santa Maria","Anoia, l'","15.3"
193,"Calaf","Sant Jaume","Anoia, l'","59.14"
194,"Calonge de Segarra","Santa Fe","Anoia, l'","13.34"
195,"Capellades","Santa Maria","Anoia, l'","35.00"
196,"Carme","Sant Martí","Anoia, l'","19.00"
197,"Castellfollit de Riubregós","Mare de Déu del Roser","Anoia, l'","23.26"
198,"Clariana ","Santa Maria","Anoia, l'","12.95"
199,"Conill","Sant Vicenç","Anoia, l'","10.75"
200,"Copons","Santa Maria","Anoia, l'","31.00"
201,"Guàrdia Pilosa, La","Sant Jaume","Anoia, l'","13.08"
202,"Hostalets de Pierola, Els","Sant Pere","Anoia, l'","23.00"
203,"Igualada","La Soledat","Anoia, l'","32.52"
204,"Igualada","Sagrada Família","Anoia, l'","15.00"
205,"Igualada","Santa Maria","Anoia, l'","36.5"
206,"Jorba","Sant Pere","Anoia, l'","22.9"
207,"Llacuna, La","Santa Maria","Anoia, l'","35.15"
208,"Masquefa","Sant Pere","Anoia, l'","28.3"
209,"Mirambell","Sant Pere","Anoia, l'","15.27"
210,"Montmaneu","Santa Maria","Anoia, l'","25.65"
211,"Òdena","Sant Pere","Anoia, l'","25.5"
212,"Orpí","Sant Miquel","Anoia, l'","21.8"
213,"Piera","Santa Maria","Anoia, l'","26.00"
214,"Pobla de Claramunt, La","Sant Joan","Anoia, l'","37.00"
215,"Prats de Rei, Els","Santa Maria","Anoia, l'","31.45"
216,"Pujalt","Sant Andreu","Anoia, l'","20.8"
217,"Rubió","Santa Maria","Anoia, l'","32.15"
218,"Sant Genís","Sant Genís","Anoia, l'","10.00"
219,"Sant Jaume Sesoliveres","Sant Jaume","Anoia, l'","21.72"
220,"Sant Martí de Maçana","Sant Martí","Anoia, l'","12.7"
221,"Sant Martí de Tous","Sant Martí","Anoia, l'","27.64"
222,"Sant Martí Sesgueioles","Sant Martí","Anoia, l'","25.35"
223,"Sant Pere Sallavinera","Sant Pere","Anoia, l'","17.36"
224,"Santa Margarida de Montbui","Santa Margarida","Anoia, l'","23.7"
225,"Segur","Santa Maria","Anoia, l'","16.02"
226,"Torre de Claramunt, La","Sant Joan","Anoia, l'","16.55"
227,"Vallbona d'Anoia","Sant Bartomeu","Anoia, l'","22.5"
228,"Vilanova del Camí","Sant Hilari","Anoia, l'","34.26"
229,"Aguilar de Segarra","Sant Andreu","Bages, el","18.64"
230,"Artés","Santa Maria","Bages, el","52.16"
231,"Avinyó","Sant Joan","Bages, el","22.13"
232,"Balsareny","Santa Maria","Bages, el","22.29"
233,"Bergús","Sant Joan","Bages, el","18.54"
234,"Cabrianes","Sant Ramon","Bages, el","18.59"
235,"Callús","Sant Sadurní","Bages, el","28.5"
236,"Camps","Santa Maria","Bages, el","18.4"
237,"Cardona","Sant Miquel","Bages, el","27.81"
238,"Castelladral","Sant Miquel","Bages, el","21.18"
239,"Castellar (del Bages)","Sant Miquel","Bages, el","13.34"
240,"Castellbell","Sant Vicenç","Bages, el","24.75"
241,"Castellfollit del Boix","Sant Pere","Bages, el","18.00"
242,"Castellgalí","Sant Miquel","Bages, el","21.39"
