"id","poble","advocació","comarca","alçada"
812,"Alentorn","Sant Salvador","Noguera, la","25.17"
813,"Alfarràs","Sant Pere, espadanya","Noguera, la","12.00"
814,"Algerri","Santa Maria","Noguera, la","28.78"
815,"Alòs de Baleguer","Sant Feliu","Noguera, la","24.86"
816,"Ametlla de Montsec","Sant Josep","Noguera, la","16.65"
817,"Artesa de Segre","L'Assumpció","Noguera, la","30.25"
818,"Balaguer","El Sagrat Cor","Noguera, la","30.00"
819,"Balaguer","Santa Maria","Noguera, la","40.00"
820,"Baldomar","L'Assumpció","Noguera, la","17.87"
821,"Baronia de Sant Oïsme","Sant Oïsme","Noguera, la","10.71"
822,"Bellcaire d'Urgell","Santa Maria","Noguera, la","24.00"
823,"Bellmunt d'Urgell","Sant Josep","Noguera, la","19.49"
824,"Butsènit d'Urgell","L'Assumpció","Noguera, la","34.02"
825,"Cabanabona","Sant Joan","Noguera, la","17.00"
826,"Camarasa","Sant Miquel","Noguera, la","23.54"
827,"Clua","Sant Julià","Noguera, la","13.21"
828,"Corçà","Mare de Déu del Roser","Noguera, la","13.85"
829,"Coscó","L'Assumpció","Noguera, la","18.12"
830,"Cubells","Sant Pere","Noguera, la","27.02"
831,"Fontllonga","Sant Miquel","Noguera, la","18.12"
832,"Gerb","Sant Salvador","Noguera, la","23.55"
833,"Ivars de Noguera","L'Assumpció","Noguera, la","26.03"
834,"Lluçars","Sant Pere","Noguera, la","11.26"
835,"Menàrguens","L'Assumpció","Noguera, la","25.59"
836,"Montgai","L'Assumpció","Noguera, la","60.00"
837,"Oliola","Sant Tirs","Noguera, la","25.5"
838,"Os de Balaguer","Sant Miquel","Noguera, la","32.38"
839,"Pallerols","Sant Esteve","Noguera, la","13.75"
840,"Penelles","Sant Joan Baptista","Noguera, la","32.28"
841,"Ponts","Santa Maria","Noguera, la","28.2"
842,"Pradell de Sió","L'Assumpció","Noguera, la","17.25"
843,"Preixens","Sant Pere","Noguera, la","13.74"
844,"Puig de Ribalb","Sant Andreu","Noguera, la","11.05"
845,"Ribelles","L'Assumpció","Noguera, la","36.39"
846,"Sant Llorenç de Montgai","L'Assumpció","Noguera, la","17.75"
847,"Santa Linya","L'Assumpció","Noguera, la","22.11"
848,"Santa Maria de Meià","La Immaculada","Noguera, la","26.41"
849,"Sentiu de Sió, La","Sant Miquel","Noguera, la","21.62"
850,"Seró","L'Assumpció","Noguera, la","9.76"
851,"Tartareu","L'Assumpció","Noguera, la","20.49"
852,"Térmens","Santa Maria","Noguera, la","23.19"
853,"Torre de Rialb  (Torrebadal)","Sant Iscle i santa Victòria","Noguera, la","13.41"
854,"Torrelameu","L'Assumpció","Noguera, la","19.03"
855,"Vallfogona de Balaguer","Sant Miquel","Noguera, la","22.19"
856,"Ventoses, Les","Sant Pere","Noguera, la","11.8"
857,"Vilanova de l'Aguda","Sant Miquel","Noguera, la","19.41"
858,"Vilanova de Meià","L'Assumpció","Noguera, la","27.75"
859,"Alpens","Santa Maria","Osona","21.79"
860,"Balenyà (els Hostalets)","Sant Fruitós","Osona","24.5"
861,"Brull, El","Sant Martí","Osona","19.72"
862,"Calldetenes","Mare de Déu de la Mercè","Osona","29.00"
863,"Cantonigròs","Sant Roc","Osona","19.68"
864,"Castanya, La","Sant Cristòfol","Osona","13.82"
865,"Centelles","Sant Coloma","Osona","39.00"
866,"Espinelves","Sant Vicenç","Osona","22.52"
867,"Folgueroles","Santa Maria","Osona","22.65"
868,"Gleva, La","Mare de Déu de la Gleva","Osona","40.00"
869,"Granollers de la Plana","Sant Esteve","Osona","18.2"
870,"Gurb de la Plana","Sant Andreu","Osona","22.62"
871,"Lluçà","Santa Maria","Osona","21.43"
872,"Malla","Sant Vicenmç","Osona","25.58"
873,"Manlleu","Nostra Senyora de Gràcia","Osona","15.15"
874,"Manlleu","Santa Maria","Osona","51.2"
875,"Montesquiu","Santa Maria","Osona","24.2"
876,"Muntanyola","Sant Quirze","Osona","16.00"
877,"Múnter","Sant Esteve","Osona","15.55"
878,"Olost de Lluçanès","Santa Maria","Osona","33.4"
879,"Orís","Sant Genís","Osona","27.3"
880,"Oristà","Sant Andreu","Osona","23.54"
881,"Perafita","Sant Pere","Osona","21.45"
882,"Prats de Lluçanès","Sant Vicenç","Osona","24.8"
883,"Pruit","Sant Andreu","Osona","23.68"
884,"Roda de Ter","Sant Pere","Osona","40.00"
885,"Rupit","Sant Miquel","Osona","28.37"
886,"Saderra","Sant Marcel","Osona","10.9"
887,"Sant Agustí de Lluçanès","Sant Agustí","Osona","10.87"
888,"Sant Andreu de Bancells","Sant Andreu","Osona","12.89"
889,"Sant Andreu de la Vola","Sant Andreu","Osona","17.11"
890,"Sant Bartomeu del Grau","Sant Bartomeu","Osona","25.00"
891,"Sant Boi de Lluçanès","Sant Baldiri","Osona","33.94"
892,"Sant Hipòlit de Voltregà","Sant Hipòlit","Osona","40.32"
893,"Sant Jaume de Viladrover","Sant Jaume","Osona","15.8"
894,"Sant Julià de Cabrera","Sant Julià","Osona","10.03"
895,"Sant Julià de Vilatorta","Sant Julià","Osona","22.85"
896,"Sant Julià Sassorba","Sant Julià","Osona","19.29"
897,"Sant Martí d'Albars","Sant Martí","Osona","18.94"
898,"Sant Martí de Centelles","Sant Martí","Osona","15.85"
899,"Sant Miquel de Belenyà","Sant Miquel dels Sants","Osona","19.00"
900,"Sant Pere de Castanyadell","Sant Pere","Osona","18.43"
901,"Sant Pere de Torelló","Sant Pere","Osona","36.36"
902,"Sant Quirze de Besora","Sant Quirze","Osona","24.99"
903,"Sant Romà de Sau","Sant Romà","Osona","19.42"
904,"Sant Sadurní d'Osormort","Sant Sadurní","Osona","23.84"
905,"Sant Vicenç de Torelló","Sant Vicenç","Osona","23.94"
906,"Santa Cecília de Voltregà","Santa Cecília","Osona","26.09"
907,"Santa Creu de Jotglar","Santa Creu","Osona","17.22"
908,"Santa Eugènia de Berga","Santa Eugènia","Osona","28.3"
909,"Santa Eulàlia de Pardines","Santa Eulàlia","Osona","19.17"
910,"Santa Eulàlia de Puig-oriol","Santa Eulàlia","Osona","19.16"
911,"Santa Eulàlia de Riuprimer","Santa Eulàlia","Osona","30.75"
912,"Santa Maria de Besora","Santa Maria","Osona","23.05"
913,"Sentfores (la Guixa)","Sant Martí","Osona","34.66"
914,"Sesgorgues","Sant Bartomeu","Osona","9.49"
915,"Seva","Santa Maria","Osona","31.6"
916,"Siuret","Santa Llúcia","Osona","17.85"
917,"Sobremunt","Sant Martí","Osona","16.26"
918,"Sora","Sant Pere","Osona","21.3"
919,"Taradell","Sant Genís","Osona","41.23"
920,"Tavèrnoles","Sant Esteve","Osona","18.5"
921,"Tavertet","Sant Cristòfol","Osona","13.73"
922,"Tona","Sant Andreu","Osona","27.5"
923,"Torelló","Mare de Déu de Montserrat","Osona","27.12"
924,"Torelló","Sant Feliu","Osona","46.02"
925,"Torre d'Oristà, La","Santa Maria","Osona","18.67"
926,"Valldeneu","Sant Pere","Osona","14.35"
927,"Vespella","Sant Cristòfol","Osona","29.51"
928,"Vic","Catedral de Sant Pere, campanar romànic","Osona","57.14"
929,"Vic","La Pietat","Osona","34.39"
930,"Vic","Mare de Déu del Carme","Osona","34.32"
931,"Vic","Sant Domènec","Osona","31.5"
932,"Vidrà","Sant Hilari","Osona","28.42"
933,"Viladrau","Sant Martí","Osona","34.27"
934,"Vilalleons","Santa Maria","Osona","19.5"
935,"Vilanova de Sau","Santa Maria","Osona","18.57"
936,"Vinyoles d'Orís","Sant Esteve","Osona","19.3"
937,"Abella de la Conca","Sant Esteve","Pallars Jussà, el","14.61"
938,"Aramunt","Sant Fructuós","Pallars Jussà, el","15.7"
939,"Astell","Sant Andreu","Pallars Jussà, el","17.92"
940,"Bòixols","Sant Vicenç","Pallars Jussà, el","10.74"
941,"Cabdella","Sant Vicenç","Pallars Jussà, el","11.8"
942,"Castissent","Sant Joan Baptista","Pallars Jussà, el","14.6"
943,"Claramunt","Sant Pere","Pallars Jussà, el","12.36"
944,"Claverol","Sant Cristòfol","Pallars Jussà, el","15.75"
945,"Covet","Santa Maria","Pallars Jussà, el","15.89"
946,"Erinyà","Sant Esteve","Pallars Jussà, el","19.56"
947,"Eroles","Santa Maria","Pallars Jussà, el","16.2"
948,"Espluga de Serra","Mare de Déu de les Neus","Pallars Jussà, el","10.9"
949,"Espui","Sant Julià","Pallars Jussà, el","16.35"
950,"Gavet","Sant Pere","Pallars Jussà, el","14.79"
951,"Guàrdia de Tremp","Mare de Déu del Remei","Pallars Jussà, el","25.00"
952,"Guiró","Sant Joan Baptista","Pallars Jussà, el","15.5"
953,"Isona","Santa Maria","Pallars Jussà, el","27.00"
954,"Llimiana","Santa Maria","Pallars Jussà, el","16.42"
955,"Manyanet","Sant Pere","Pallars Jussà, el","16.8"
956,"Mont-ros","Nostra Senyora del Boix","Pallars Jussà, el","18.7"
957,"Naens","Sant Esteve","Pallars Jussà, el","13.06"
958,"Orrit","Sant Pere","Pallars Jussà, el","9.67"
959,"Oveix","La Purificació de Maria","Pallars Jussà, el","13.6"
960,"Palau de Noguera","Sant Joan Baptista","Pallars Jussà, el","27.51"
961,"Pessonada","L'Assumpció","Pallars Jussà, el","14.2"
962,"Pobla de Segur, La","Mare de Déu de la Ribera","Pallars Jussà, el","32.44"
963,"Pobleta de Bellveí","Sant Feliu","Pallars Jussà, el","13.00"
964,"Salàs de Pallars","Mare de Déu del Coll","Pallars Jussà, el","27.68"
965,"Sant Salvador de Toló","Sant Salvador","Pallars Jussà, el","17.74"
966,"Sant Serni","Sant Sadurní","Pallars Jussà, el","13.95"
967,"Sapeira","Sant Pere","Pallars Jussà, el","13.35"
968,"Sarroca de Bellera","Sant Feliu","Pallars Jussà, el","20.26"
969,"Senterada","Santa Maria","Pallars Jussà, el","15.16"
970,"Talarn","Sant Martí","Pallars Jussà, el","26.44"
971,"Tercui","Sant Pere","Pallars Jussà, el","12.7"
972,"Torre de Cabdella, La","Sant Martí","Pallars Jussà, el","15.2"
973,"Torre de Tamúrcia","Sant Josep","Pallars Jussà, el","9.4"
974,"Tremp","Santa Maria de Valldeflors, basílica","Pallars Jussà, el","38.3"
975,"Aidí","Mare de Déu del Roser","Pallars Sobirà, el","10.32"
976,"Ainet de Besan","Sant Julià","Pallars Sobirà, el","22.03"
977,"Alins de Vallferrera","Sant Vicenç","Pallars Sobirà, el","23.34"
978,"Alís d'Isil","Sant Lliser","Pallars Sobirà, el","26.06"
979,"Altron","Sant Serni","Pallars Sobirà, el","23.00"
980,"Arcalís","Sant Lliser","Pallars Sobirà, el","17.89"
981,"Àreu","Sant Climent","Pallars Sobirà, el","28.24"
982,"Arròs de Cardós","Sant Julià","Pallars Sobirà, el","14.16"
983,"Baiasca","Sant Serni","Pallars Sobirà, el","17.6"
984,"Boldís Jussà","Sant Pere","Pallars Sobirà, el","16.71"
985,"Borén","Sant Martí","Pallars Sobirà, el","31.4"
986,"Burg","Sant Bartomeu","Pallars Sobirà, el","18.92"
987,"Caregue","Sant Martí","Pallars Sobirà, el","19.85"
988,"Dorve","Sant Bartomeu","Pallars Sobirà, el","23.22"
989,"Enviny","La Purificació de Maria","Pallars Sobirà, el","18.07"
990,"Escaló","Santa Maria","Pallars Sobirà, el","28.35"
991,"Escart","Sant Martí","Pallars Sobirà, el","20.75"
992,"Espot","Santa Llogaia","Pallars Sobirà, el","32.4"
993,"Estac","Sant Marçal","Pallars Sobirà, el","21.54"
994,"Estaís","Sant Esteve","Pallars Sobirà, el","14.73"
995,"Estaon","Sant Jaume","Pallars Sobirà, el","17.98"
996,"Esterri d'Aneu","Sant Vicenç","Pallars Sobirà, el","42.47"
997,"Esterri de Cardós","Sant Pere i sant Pau","Pallars Sobirà, el","24.28"
998,"Farrera","Sant Roc","Pallars Sobirà, el","20.25"
999,"Gavàs","Sant Esteve","Pallars Sobirà, el","30.77"
1000,"Isavarre","Sant Llorenç","Pallars Sobirà, el","26.6"
1001,"Isil","La Immaculada","Pallars Sobirà, el","27.26"
1002,"Jou","Sant Pere","Pallars Sobirà, el","24.85"
1003,"Lavorre","Sant Miquel","Pallars Sobirà, el","20.75"
1004,"Lladorre","Sant Martí","Pallars Sobirà, el","18.59"
1005,"Lladrós","Sant Pere","Pallars Sobirà, el","19.52"
1006,"Llagunes, Le  (les Llacune)","Sant Martí","Pallars Sobirà, el","13.48"
1007,"Llavorsí","Santa Anna","Pallars Sobirà, el","21.84"
1008,"Llessui","Sant Pere","Pallars Sobirà, el","28.35"
1009,"Montardit de Dalt","Santa Cecília","Pallars Sobirà, el","30.85"
1010,"Montcortès","Sant Martí","Pallars Sobirà, el","14.96"
1011,"Montesclado","Sant Esteve","Pallars Sobirà, el","16.64"
1012,"Norís","Sant Serni","Pallars Sobirà, el","15.03"
1013,"Peramea","Sant Cristòfol","Pallars Sobirà, el","14.28"
1014,"Pujal","Sant Pere","Pallars Sobirà, el","15.54"
1015,"Rialp de Noguera","Mare de Déu de Valldeflors","Pallars Sobirà, el","24.95"
1016,"Ribera de Cardós","Santa Maria","Pallars Sobirà, el","23.73"
1017,"Saurí","Sant Víctor","Pallars Sobirà, el","19.23"
1018,"Son","Sant Just i sant Pastor","Pallars Sobirà, el","24.00"
1019,"Sorpe","Sant Pere","Pallars Sobirà, el","15.25"
1020,"Sorre","Sant Esteve","Pallars Sobirà, el","19.8"
1021,"Sort","Sant Feliu","Pallars Sobirà, el","37.1"
1022,"Surp","Sant Iscle","Pallars Sobirà, el","15.82"
1023,"Surri","Santa Coloma","Pallars Sobirà, el","17.1"
1024,"Tavascan","Sant Simeó i sant Bartomeu","Pallars Sobirà, el","22.89"
1025,"Tírvia","Sant Feliu","Pallars Sobirà, el","28.11"
1026,"Tor","Sant Pere","Pallars Sobirà, el","12.96"
1027,"Unarre","Sant Julià","Pallars Sobirà, el","24.66"
1028,"València d'Àneu","Sant Andreu","Pallars Sobirà, el","22.34"
1029,"Vilamur","Mare de Déu de Medina","Pallars Sobirà, el","19.45"
1030,"Arcs","Sant Antoni Abat","Pla d'Urgell, el","26.4"
1031,"Barbens","L'Assumpció","Pla d'Urgell, el","22.89"
1032,"Bell-lloc d'Urgell","Sant Miquel","Pla d'Urgell, el","31.85"
1033,"Bellvís","L'Assumpció","Pla d'Urgell, el","38.15"
1034,"Castellnou de Seana","Sant Joan","Pla d'Urgell, el","24.7"
1035,"Golmés","Sant Salvador","Pla d'Urgell, el","26.78"
1036,"Ivars d'Urgell","Sant Andreu","Pla d'Urgell, el","34.46"
1037,"Linyola","Santa Maria","Pla d'Urgell, el","29.47"
1038,"Miralcamp","Sant Miquel","Pla d'Urgell, el","22.25"
1039,"Mollerussa","Sant Jaume","Pla d'Urgell, el","42.00"
1040,"Palau d'Anglesola, El","Sant Joan Baptista","Pla d'Urgell, el","30.15"
1041,"Poal, El","La Degollació de Sant Joan","Pla d'Urgell, el","24.64"
1042,"Sidamon","Sant Bartomeu","Pla d'Urgell, el","20.55"
1043,"Torregrossa","L'Assumpció","Pla d'Urgell, el","31.64"
1044,"Vallverd d'Urgell","Sant Miquel","Pla d'Urgell, el","17.21"
1045,"Vila-sana (Utxafava)","Sant Miquel","Pla d'Urgell, el","24.93"
1046,"Vilanova de Bellpuig","Sant Pere","Pla d'Urgell, el","25.98"
1047,"Banyoles","Sant Pere","Pla de l'Estany, el","7.5"
1048,"Borgonyà","Sant Joan","Pla de l'Estany, el","12.1"
1049,"Camós","Sant Vicenç","Pla de l'Estany, el","20.00"
1050,"Centenys","Sant Iscle","Pla de l'Estany, el","16.4"
1051,"Cornellà del Terri","Sant Pere","Pla de l'Estany, el","30.33"
1052,"Corts","Sant Julià","Pla de l'Estany, el","17.2"
1053,"Crespià","Santa Eulàlia","Pla de l'Estany, el","20.5"
1054,"Esponellà","Sant Cebrià","Pla de l'Estany, el","25.23"
1055,"Falgons","Sant Vicenç","Pla de l'Estany, el","11.84"
1056,"Fontcoberta","Sant Feliu i sant Pere","Pla de l'Estany, el","21.5"
1057,"Galliners","Sant Julià","Pla de l'Estany, el","24.25"
1058,"Miànigues","Sant Romà","Pla de l'Estany, el","16.00"
1059,"Mota, La","Sant Martí","Pla de l'Estany, el","19.65"
1060,"Ollers","Sant Martí","Pla de l'Estany, el","22.5"
1061,"Orfes","Santa Maria","Pla de l'Estany, el","26.47"
1062,"Palol de Revardit","Sant Miquel","Pla de l'Estany, el","13.66"
1063,"Parets d'Empordà","Santa Leocàdia","Pla de l'Estany, el","23.5"
1064,"Pujals dels Pagesos","Santa Eulàlia","Pla de l'Estany, el","27.00"
1065,"Pujarnol","Sant Cebrià","Pla de l'Estany, el","11.15"
1066,"Ravós del Terri","Sant Cugat","Pla de l'Estany, el","21.6"
1067,"Sant Andreu del Terri","Sant Andreu","Pla de l'Estany, el","14.25"
1068,"Sant Esteve de Guialbes","Sant Esteve","Pla de l'Estany, el","24.15"
1069,"Sant Marçal de Quarantella","Sant Marçal","Pla de l'Estany, el","15.22"
1070,"Sant Miquel de Campmajor","Sant Miquel","Pla de l'Estany, el","22.3"
1071,"Santa Llogaia del Terri","Santa Leocàdia","Pla de l'Estany, el","15.78"
1072,"Santa Maria de Camós","Santa Maria ","Pla de l'Estany, el","10.00"
1073,"Serinyà","Sant Andreu","Pla de l'Estany, el","16.24"
1074,"Sords","Sant Esteve","Pla de l'Estany, el","24.85"
1075,"Terradelles","Sant Martí","Pla de l'Estany, el","18.63"
1076,"Vilademí","Sant Esteve","Pla de l'Estany, el","16.91"
1077,"Vilademuls","Sant Joan","Pla de l'Estany, el","13.87"
1078,"Vilafreser","Sant Sadurní","Pla de l'Estany, el","23.00"
1079,"Vilamarí","L'Assumpció","Pla de l'Estany, el","23.14"
1080,"Vilavenut","Sant Sadurní","Pla de l'Estany, el","18.21"
1081,"Vilert","Santa Maria","Pla de l'Estany, el","20.11"
1082,"Albarca","Sant Vicenç","Priorat, el","16.43"
1083,"Bellmunt del Priorat","Santa Llúcia","Priorat, el","36.27"
1084,"Bisbal de Falset, La","La Nativitat de Maria","Priorat, el","27.44"
1085,"Cabacés","La Nativitat de Maria","Priorat, el","22.61"
1086,"Cornudella de Montsant","Santa Maria","Priorat, el","29.75"
1087,"Falset","Santa Maria","Priorat, el","43.00"
1088,"Figuera, La","Sant Martí","Priorat, el","26.42"
1089,"Gratallops","Sant Llorenç","Priorat, el","34.69"
1090,"Guiamets, Els","Sant Lluís de Tolosa","Priorat, el","30.85"
1091,"Lloar, El","Sant Miquel","Priorat, el","27.00"
1092,"Marçà","Santa Maria","Priorat, el","34.82"
1093,"Margalef","Sant Miquel","Priorat, el","22.77"
1094,"Molar, El","Sant Roc","Priorat, el","20.28"
1095,"Morera de Montsant, La","La Nativitat de Maria","Priorat, el","24.81"
1096,"Poboleda","Sant Pere","Priorat, el","37.27"
1097,"Porrera","Sant Joan","Priorat, el","29.84"
1098,"Pradell de la Teixeta","Santa Maria Magdalena","Priorat, el","30.00"
1099,"Siurana","Santa Maria","Priorat, el","12.41"
1100,"Torre de Fontaubella, La","La Nativitat de Maria","Priorat, el","25.65"
1101,"Torroja del Priorat","Sant Miquel","Priorat, el","33.4"
1102,"Ulldemolins","Sant Jaume","Priorat, el","35.04"
1103,"Vilella Alta, La","Santa Llúcia","Priorat, el","30.54"
1104,"Vilella Baixa, La","Sant Joan Baptista","Priorat, el","24.4"
1105,"Benissanet","Sant Joan","Ribera d'Ebre, la","30.9"
1106,"Darmós","Sant Miquel","Ribera d'Ebre, la","19.66"
1107,"Flix","L'Assumpció","Ribera d'Ebre, la","21.39"
1108,"Garcia","La Nativitat de Maria","Ribera d'Ebre, la","21.76"
1109,"Ginestar","Sant Martí","Ribera d'Ebre, la","28.47"
1110,"Miravet","La Nativitat de Maria","Ribera d'Ebre, la","14.5"
1111,"Móra d'Ebre","Sant Joan","Ribera d'Ebre, la","27.5"
1112,"Móra la Nova","Mare de Déu del Remei","Ribera d'Ebre, la","28.63"
1113,"Palma d'Ebre, La","L'Assumpció","Ribera d'Ebre, la","36.31"
1114,"Rasquera","Sant Joan","Ribera d'Ebre, la","24.54"
1115,"Riba-roja d'Ebre","Sant Bartomeu","Ribera d'Ebre, la","30.34"
1116,"Serra d'Almos","Sant Domènec","Ribera d'Ebre, la","18.42"
1117,"Tivissa","Sant Jaume","Ribera d'Ebre, la","31.83"
1118,"Torre de l'Espanyol, La","Sant Jaume","Ribera d'Ebre, la","22.99"
1119,"Vinebre","Sant Miquel","Ribera d'Ebre, la","22.95"
1120,"Beget","Sant Cristòfol","Ripollès, el","23.96"
1121,"Bruguera","Sant Feliu","Ripollès, el","16.23"
1122,"Campdevànol","Sant Cristòfol","Ripollès, el","46.34"
1123,"Campelles","Sant Martí","Ripollès, el","20.22"
1124,"Estiula","Sant Feliu","Ripollès, el","13.4"
1125,"Fustanyà","Sant Serni","Ripollès, el","18.32"
1126,"Gombrèn","Sant Pere","Ripollès, el","25.63"
1127,"Llanars","Sant Esteve","Ripollès, el","22.22"
1128,"Llosses, Les","Santa Maria","Ripollès, el","15.04"
1129,"Matamala","Santa Maria","Ripollès, el","15.36"
1130,"Molló","Santa Cecília","Ripollès, el","24.28"
1131,"Nevà","Sant Cristòfol","Ripollès, el","13.75"
1132,"Palmerola","Sant Vicenç","Ripollès, el","12.00"
1133,"Pardines","Sant Esteve","Ripollès, el","21.14"
1134,"Planoles","Sant Vicenç","Ripollès, el","22.71"
1135,"Queralbs","Sant Jaume","Ripollès, el","20.73"
1136,"Ribes de Freser","L'Assumpció","Ripollès, el","25.18"
1137,"Ripoll","Santa Maria","Ripollès, el","39.86"
1138,"Sant Bernabé de les Tenes","Sant Bernabé","Ripollès, el","11.12"
1139,"Sant Esteve de Vallespirans","Sant Esteve","Ripollès, el","11.43"
1140,"Sant Joan de les Abadesses","Sant Joan, antic monestir","Ripollès, el","27.18"
1141,"Sant Llorenç de Campdevànol","Sant Llorenç","Ripollès, el","16.97"
1142,"Setcases","Sant Miquel","Ripollès, el","21.63"
1143,"Sovelles","Sant Sadurní","Ripollès, el","17.5"
1144,"Toses","Sant Cristòfol","Ripollès, el","14.13"
1145,"Tregurà de Dalt","Sant Julià","Ripollès, el","15.67"
1146,"Vallfogona de Ripollès","Sant Julià","Ripollès, el","19.68"
1147,"Ventolà","Sant Cristòfol","Ripollès, el","13.33"
1148,"Viladonja","Santa Eulàlia","Ripollès, el","11.74"
1149,"Vilallonga de Ter","Sant Martí","Ripollès, el","17.83"
1150,"Vinyoles de Portavella","Sant Martí","Ripollès, el","12.07"
1151,"Alta-riba","Sant Jordi de Sabadell","Segarra, la","16.26"
1152,"Ametlla de Segarra","Sant Pere","Segarra, la","20.48"
1153,"Bellmunt de Segarra","Sant Pere","Segarra, la","19.13"
1154,"Bellveí","Sant Jaume","Segarra, la","23.5"
1155,"Biosca","Santa Maria","Segarra, la","26.42"
1156,"Canós, El","Sant Jaume","Segarra, la","16.75"
1157,"Castellnou d'Oluges","Sant Pere","Segarra, la","21.12"
1158,"Cervera","Santa Maria","Segarra, la","51.00"
1159,"Civit","Santa Maria","Segarra, la","13.99"
1160,"Curullada, La","Sant Pere","Segarra, la","19.42"
1161,"Ferran","Sant Jaume","Segarra, la","14.5"
1162,"Florejacs","L'Assumpció","Segarra, la","25.00"
1163,"Freixenet de Segarra","Santa Maria","Segarra, la","20.85"
1164,"Gospí","Sant Martí","Segarra, la","14.63"
1165,"Gra ","Sant Salvador","Segarra, la","11.98"
1166,"Granyena de Segarra","Santa Maria","Segarra, la","44.92"
1167,"Guàrdia-lada, La","Santa Maria","Segarra, la","20.04"
1168,"Guissona","Santa Maria","Segarra, la","34.00"
1169,"Hostafrancs","Sant Bartomeu","Segarra, la","29.07"
1170,"Ivorra","Sant Cugat","Segarra, la","27.09"
1171,"Lloberola","Sant Miquel","Segarra, la","23.26"
1172,"Llor","Sant Julià","Segarra, la","16.74"
1173,"Manresana","Sant Jaume","Segarra, la","12.6"
1174,"Massoteres","Sant Salvador","Segarra, la","23.93"
1175,"Mont-roig del Camp","Santa Maria","Segarra, la","19.64"
1176,"Montfalcó Murallat","Sant Pere","Segarra, la","18.85"
1177,"Montlleó","Santa Maria","Segarra, la","17.33"
1178,"Montoliu de Segarra","Sant Salvador","Segarra, la","23.17"
1179,"Montornès de Segarra","Sant Joan Baptista","Segarra, la","18.5"
1180,"Montpalau","Sant Jaume","Segarra, la","18.21"
1181,"Oluges, Les","L'Assumpció","Segarra, la","23.18"
1182,"Palou","Sant Ponç","Segarra, la","18.64"
1183,"Pallargues, Les","Sant Salvador","Segarra, la","21.8"
1184,"Pelagalls i Sisteró","Sant Esteve","Segarra, la","12.25"
1185,"Portell","Sant Jaume","Segarra, la","17.15"
1186,"Rubinat","Santa Maria","Segarra, la","25.43"
1187,"Sanaüja  ","Santa Maria de la Plaça, exempt","Segarra, la","18.00"
1188,"Sant Antolí i Vilanova","Sant Antolí","Segarra, la","19.00"
1189,"Sant Domí","Sant Pere","Segarra, la","19.15"
1190,"Sant Guim de Freixenet","Sagrat Cor","Segarra, la","28.18"
1191,"Sant Guim de la Plana","Santa Maria","Segarra, la","20.94"
1192,"Sant Martí de la Morana","Sant Martí","Segarra, la","25.5"
1193,"Santa Fe de Segarra","Sant Pere","Segarra, la","20.47"
1194,"Sedó","Sant Donat","Segarra, la","17.58"
1195,"Tallada, La","Sant Martí","Segarra, la","23.65"
1196,"Tarroja de Segarra","Sant Salvador","Segarra, la","28.63"
1197,"Torà","Sant Gil","Segarra, la","27.31"
1198,"Torrefeta","Sant Amanç","Segarra, la","23.00"
1199,"Vallferosa","Santa Maria","Segarra, la","16.75"
1200,"Vergós Guerrejat","Santa Magdalena","Segarra, la","21.00"
1201,"Vicfred","Sant Esteve","Segarra, la","20.63"
1202,"Vilagrasseta","Sant Andreu","Segarra, la","18.59"
1203,"Viver de Segarra","Santa Maria","Segarra, la","21.12"
1204,"Puigverd de Lleida","Sant Pere","Segriá, el","29.41"
1205,"Aitona","Sant Antolí","Segrià, el","40.41"
1206,"Albatàrrec","La Transfiguració","Segrià, el","25.56"
1207,"Alcanó","Sant Pere","Segrià, el","26.05"
1208,"Alcoletge","Sant Miquel","Segrià, el","24.13"
1209,"Alfés","Sant Pere","Segrià, el","19.34"
1210,"Almacelles","Mare de Déu de la Mercè","Segrià, el","28.14"
1211,"Almatret","Sant Miquel","Segrià, el","24.75"
1212,"Almenar","Santa Maria","Segrià, el","60.18"
1213,"Alpicat","Sant Bartomeu","Segrià, el","30.04"
1214,"Artesa de Lleida","Sant Miquel","Segrià, el","30.12"
1215,"Aspa","Sant Julià","Segrià, el","21.43"
1216,"Benavent de Segrià","Sant Joan Baptista","Segrià, el","31.55"
1217,"Corbins","Sant Jaume","Segrià, el","30.59"
1218,"Gimenells","Santa Maria del Roser","Segrià, el","15.72"
1219,"Granja d'Escarp, La","Sant Jaume","Segrià, el","32.87"
1220,"Llardecans","L'Assumpció","Segrià, el","37.24"
1221,"Lleida","Catedral nova de Sant Pere","Segrià, el","39.39"
1222,"Lleida","Mare de Déu del Pilar, en projecte","Segrià, el","48.00"
1223,"Lleida","Sant Llorenç","Segrià, el","33.66"
1224,"Lleida","Santa Tereseta","Segrià, el","33.00"
1225,"Lleida, barri de les Pedrinyes","Santíssim Salvador","Segrià, el","16.43"
1226,"Lleida, la Seu","Campanar de la Seu vella","Segrià, el","60.6"
1227,"Maials","L'Assumpció","Segrià, el","36.82"
1228,"Massalcoreig","Sant Bartomeu","Segrià, el","20.3"
1229,"Montoliu de Lleida","La Nativitat de Maria","Segrià, el","24.97"
1230,"Rosselló","Sant Pere ad Víncula","Segrià, el","23.49"
1231,"Seròs","Santa Maria","Segrià, el","35.83"
1232,"Soses","Sant Llorenç","Segrià, el","20.78"
